,datetime,rpl_price
320,2022-07-29 04:21:30,12213988322669441
321,2022-07-30 01:50:51,12301473896388359
322,2022-07-30 23:20:29,12433162560662320
323,2022-07-31 20:51:47,13032758438142729
324,2022-08-01 18:22:58,15189326530491767
325,2022-08-02 15:56:40,15144199243655760
326,2022-08-03 13:36:14,16481357159878265
327,2022-08-04 11:11:18,16690407378653143
328,2022-08-05 08:45:07,16547014403008752
329,2022-08-06 06:09:11,17194265179321297
330,2022-08-07 03:46:53,16821117883870855
331,2022-08-08 01:00:13,17091871365085229
332,2022-08-08 22:41:27,16994825879532629
333,2022-08-09 20:23:10,16179945032152478
334,2022-08-10 18:07:54,15705629485351090
335,2022-08-11 15:57:17,15436537084676567
336,2022-08-12 13:57:18,15204272362642007
337,2022-08-13 11:25:59,14913954591313598
338,2022-08-14 09:19:11,14573913753834411
339,2022-08-15 07:16:28,14213651418631270
340,2022-08-16 05:10:59,13398105502965815
341,2022-08-17 02:58:06,14275166726823852
342,2022-08-18 00:47:58,14875295087173422
343,2022-08-18 22:41:32,14754197098356400
344,2022-08-19 20:41:35,14251851539075643
345,2022-08-20 18:39:45,13836309211176932
346,2022-08-21 16:31:31,14633859731602472
347,2022-08-22 14:26:24,14966003537717353
348,2022-08-23 12:14:41,14921339911093911
349,2022-08-24 10:01:39,14830250723327140
350,2022-08-25 08:15:16,15357603773521485
351,2022-08-26 06:27:09,15263677736435958
352,2022-08-27 04:34:28,14927810421280882
353,2022-08-28 02:45:51,14986629687326085
354,2022-08-29 00:54:10,14434818672094250
355,2022-08-29 22:52:24,14935376094945756
356,2022-08-30 21:01:00,15234758635068793
357,2022-08-31 19:04:40,15238076825242979
358,2022-09-01 17:14:45,15135186976521997
359,2022-09-02 15:08:15,15139203484290093
360,2022-09-03 13:21:54,15260601345619932
361,2022-09-04 11:30:01,15419439880295941
362,2022-09-05 09:51:33,15337214100374703
363,2022-09-06 08:06:31,15655777072492738
364,2022-09-07 06:00:19,15786181896521635
365,2022-09-08 04:04:46,15781400035988767
366,2022-09-09 02:18:33,18284251388559575
367,2022-09-10 01:06:41,19297865935963584
368,2022-09-11 00:00:55,19672969601021853
369,2022-09-11 22:58:06,19602750021689019
