,staked_rpl_value_in_eth,provided_eth,matched_eth
2523,3.270604620941654,8.0,24.0
2524,1.3429056367937178,16.0,16.0
2525,2.585383983106508,8.0,24.0
2526,75.35185823529586,88.0,136.0
2527,26.675333542758587,48.0,144.0
2528,1.9707093366421982,8.0,24.0
2529,2.455313950803298,8.0,24.0
2530,2.8863669979505664,8.0,24.0
2531,1.9624041919913529,8.0,24.0
2532,1.199118527165572,16.0,16.0
2533,19.837955203663864,40.0,120.0
2534,1.3505440928797459,16.0,16.0
2535,2.4210754274335105,0.0,0.0
2536,28.28783984115571,88.0,232.0
2537,6.23051594554077,32.0,64.0
2538,2.7139785931832447,8.0,24.0
2539,4.232636492530369,16.0,48.0
2540,2.3129642857596173,8.0,24.0
2541,4.617421628214948,16.0,48.0
2542,4.219077426354391,16.0,48.0
2543,7.181350158222775,24.0,72.0
2544,14.689722113298979,160.0,160.0
2545,9.619628392114475,8.0,24.0
2546,0.0,0.0,0.0
2547,20.288894166557228,64.0,192.0
2548,2.4997566339748674,8.0,24.0
2549,2.8858885176343425,16.0,16.0
2550,2.6352140403762325,8.0,24.0
2551,2.397959116324396,8.0,24.0
2552,5.438501089913165,24.0,72.0
2553,1.6864376394263478,16.0,16.0
2554,2.38566784124439,8.0,24.0
2555,2.2868509589174084,16.0,16.0
2556,0.0,0.0,0.0
2557,3.700651803189654,8.0,24.0
2558,0.0,0.0,0.0
2559,4.456046947317366,24.0,40.0
2560,3.297071039921268,8.0,24.0
2561,4.640701099505811,24.0,40.0
2562,62.45022045675638,96.0,288.0
2563,3.8478513568457897,32.0,32.0
2564,19.23925678422895,24.0,72.0
2565,4.663742943559916,16.0,48.0
2566,1277.8987388073597,4840.0,14520.0
2567,2.8747537373917056,8.0,24.0
2568,2.642750157106679,8.0,24.0
2569,5.629142823084301,40.0,56.0
2570,21.58011735838571,64.0,192.0
2571,21.411862492081223,72.0,216.0
2572,5.6814639567860965,16.0,48.0
2573,14.912157746467441,144.0,144.0
2574,2.212514530186329,8.0,24.0
2575,2.212514530186329,8.0,24.0
2576,14.69681971982238,48.0,144.0
2577,14.744113145661505,48.0,144.0
2578,2.5656599414048604,8.0,24.0
2579,2.5011033819497634,8.0,24.0
2580,2.0449358688146004,8.0,24.0
2581,2.0607657359421334,8.0,24.0
2582,19.36292493939577,64.0,192.0
2583,216.3338412650112,704.0,2112.0
2584,4.862992271379117,48.0,48.0
2585,1.7294331062621304,16.0,16.0
2586,4.263845215586254,24.0,40.0
2587,4.2675633978152705,8.0,24.0
2588,2.666020086226623,8.0,24.0
2589,1.6068726540312928,16.0,16.0
2590,2.197507764834592,8.0,24.0
2591,5.142234659375578,16.0,48.0
2592,2.6578716837656544,8.0,24.0
2593,3.8043424662562613,16.0,48.0
2594,114.47289520596738,120.0,360.0
2595,2.6887139565274865,8.0,24.0
2596,2.9516488745005405,8.0,24.0
2597,92.55001944222255,352.0,832.0
2598,29.526736361836154,416.0,416.0
2599,21.771440449255326,80.0,240.0
2600,8.447695794479353,8.0,24.0
2601,2.4433856115970767,16.0,16.0
2602,2.250993043754787,8.0,24.0
2603,5.873839157178877,24.0,72.0
2604,4.049847643221321,16.0,48.0
2605,5.771815544407512,16.0,48.0
2606,0.0,0.0,0.0
2607,2.3699082117049133,8.0,24.0
2608,2.5300468156114793,8.0,24.0
2609,2.402224266047147,8.0,24.0
2610,8.609745586661496,24.0,72.0
2611,13.824867724203049,48.0,144.0
2612,1.9192129829964224,16.0,16.0
2613,1.9239256784228949,8.0,24.0
2614,10.389198663483631,40.0,88.0
2615,6.0802736277618985,8.0,24.0
2616,49.023657599093966,144.0,432.0
2617,2.5060350987703015,8.0,24.0
2618,4.3818248265171045,8.0,24.0
2619,4.036148912749669,16.0,48.0
2620,2.4800133086628917,8.0,24.0
2621,3.2264129531412644,8.0,24.0
2622,4.650377368788441,8.0,24.0
2623,2.400915840822123,8.0,24.0
2624,5.771777035268685,24.0,72.0
2625,3.9184019293003076,16.0,48.0
2626,4.818380918603649,16.0,48.0
2627,2.5541483607651334,8.0,24.0
2628,1.6726978335920937,16.0,16.0
2629,3.616980275435042,16.0,48.0
2630,21.293523790511717,64.0,192.0
2631,2.408001690510829,32.0,32.0
2632,3.719970127355097,24.0,40.0
2633,11.911025055252153,40.0,120.0
2634,2.7848419116994623,16.0,16.0
2635,4.455376593326973,16.0,48.0
2636,1.8487170737587912,8.0,24.0
2637,2.42572299728448,8.0,24.0
2638,3.348669810012706,32.0,32.0
2639,2.092998366101123,8.0,24.0
2640,55.84604406805457,160.0,480.0
2641,2.4397264216139494,8.0,24.0
2642,2.3255991356909935,8.0,24.0
2643,4.617421628214948,8.0,24.0
2644,1.6674576991453967,16.0,16.0
2645,1.3341971014384086,16.0,16.0
2646,1.8452169169557753,8.0,24.0
2647,4.873898409569744,16.0,48.0
2648,2.438653267087239,8.0,24.0
2649,2.778774636105158,8.0,24.0
2650,1.8250983069479716,8.0,24.0
2651,7.695702713691579,24.0,72.0
2652,14.060146683571093,48.0,144.0
2653,4.809814196057237,16.0,48.0
2654,1.6269642181854775,16.0,16.0
2655,1.954766262627521,8.0,24.0
2656,0.0,0.0,0.0
2657,8.387349512337778,8.0,24.0
2658,3.3918957897221227,16.0,48.0
2659,2.5341949036186375,8.0,24.0
2660,2.0435894215988846,8.0,24.0
2661,332.2751712269559,288.0,864.0
2662,14.140245756227845,64.0,128.0
2663,21.11878779287059,16.0,16.0
2664,6.034080656806853,24.0,72.0
2665,2.572286151593911,8.0,24.0
2666,2.9957605427960705,0.0,0.0
2667,2.8624377135713823,8.0,24.0
2668,4.667748545713201,8.0,24.0
2669,12.758945072654246,40.0,120.0
2670,8.459846904272078,48.0,112.0
2671,1.9239256784228949,8.0,24.0
2672,2.7368337696817133,8.0,24.0
2673,2.32276883938036,8.0,24.0
2674,0.0,0.0,0.0
2675,5.997879474859038,24.0,72.0
2676,9.649889894487446,32.0,96.0
2677,11.363473070315374,16.0,48.0
2678,1.6899388448352084,16.0,16.0
2679,4.806515433089014,32.0,64.0
2680,1.8696780264905764,8.0,24.0
2681,7.695702713691579,8.0,24.0
2682,1.9388982122354799,8.0,24.0
2683,8.484512241844966,8.0,24.0
2684,3.9616818240754257,8.0,24.0
2685,4.070718907434298,16.0,48.0
2686,30.917220061888177,136.0,408.0
2687,5.598327583950573,24.0,40.0
2688,8.057295926089754,32.0,96.0
2689,1.325978447295919,16.0,16.0
2690,4.751050698262631,16.0,48.0
2691,11.54355407053737,8.0,24.0
2692,11.3664222735689,8.0,24.0
2693,8.998357879992064,8.0,24.0
2694,3.710352343491521,16.0,48.0
2695,3.569308850570316,16.0,48.0
2696,2.6069595391327565,8.0,24.0
2697,1.82772939450175,8.0,24.0
2698,1.1927692030211288,16.0,16.0
2699,2.519171332420578,8.0,24.0
2700,13.973839565142352,40.0,120.0
2701,4.714587763070585,32.0,32.0
2702,8.441197979562306,8.0,24.0
2703,3.452938758926404,32.0,32.0
2704,1.8109894858873905,8.0,24.0
2705,1.898408543072727,8.0,24.0
2706,14.324717260730393,48.0,144.0
2707,2.418017653971606,8.0,24.0
2708,1.49579801875701,16.0,16.0
2709,7.869779496938487,32.0,96.0
2710,1.1731380733823973,16.0,16.0
2711,1.6765105657868957,16.0,16.0
2712,1.882946061472487,8.0,24.0
2713,2.6917997983315494,8.0,24.0
2714,2.6425204967516986,8.0,24.0
2715,1.327435920143898,16.0,16.0
2716,1.7927609443853543,8.0,24.0
2717,3.078281085476632,8.0,24.0
2718,9.070766209439006,40.0,120.0
2719,1.904686421638666,8.0,24.0
2720,2.5252447494166206,8.0,24.0
2721,6.143971337038193,8.0,24.0
2722,1.9535127300280448,8.0,24.0
2723,1.8450846401174477,8.0,24.0
2724,1.9818295232185166,8.0,24.0
2725,5.163590236166361,16.0,48.0
2726,1.319684597352887,16.0,16.0
2727,2.7393746029918544,8.0,24.0
2728,2.600323745930912,8.0,24.0
2729,1.9335444415959073,8.0,24.0
2730,1.9650028384051987,8.0,24.0
2731,1.1720316666168151,0.0,0.0
2732,5.823863152900348,32.0,64.0
2733,19.041436748744598,80.0,240.0
2734,5.877015769878417,64.0,64.0
