,address,withdrawal_address,staked_rpl_value_in_eth,provided_eth,matched_eth,liquid_rpl_node_value_in_eth,liquid_rpl_withdrawal_value_in_eth
1320,0x5990Eb597cb43a53e9f6322bB28bF7faDd746743,0x50400b2d4714cfB84cc83a995010ED38B2eC14aC,0.0,0.0,0.0,0.0,0.0
1321,0x93c2583410d3b1D603de0763F773fd33F5BF1dC9,0x1aB8a747477E3D85b8e596b67Fff42927A7372fD,40.47545709884848,32.0,32.0,0.0,1.6710002713382328
1322,0xe8efB99D5BfcdAc119f4868BEF9484f43A05B2A8,0xe8efB99D5BfcdAc119f4868BEF9484f43A05B2A8,15.565780478736523,16.0,16.0,0.0,0.0
1323,0x2d90201F44CA39176927E8724691534d94006fDB,0x50400b2d4714cfB84cc83a995010ED38B2eC14aC,6.141526331382524,16.0,16.0,0.0,0.0
1324,0xf9E28aB33a3A328b40063f1518b5Bf38a842C5dc,0x6D48EAca0415ce15BBc28C408106d65B09a721d1,13.538569273836648,48.0,144.0,0.0,0.0
1325,0x0cb961e87f6b7a7Ce4E92d1ba653E2A2b5b1D9B9,0x0cb961e87f6b7a7Ce4E92d1ba653E2A2b5b1D9B9,79.4852426643692,160.0,256.0,3.3422547427918783,3.3422547427918783
1326,0x022eb98AB0f3636D6aaD549A786b82a180F32cda,0x022eb98AB0f3636D6aaD549A786b82a180F32cda,2.682015074165429,16.0,16.0,0.0232517508269179,0.0232517508269179
1327,0x90E0E78E259Ae3525BEaC2331Af9Fc6b86D7b9eF,0x24848Ea78220d3aBEc90c21C189a7eD0226C012F,70.968045143359,512.0,512.0,0.0,0.370317293118466
1328,0xdf0Cb16090C0406748dC1E88F04441DE0b1c8060,0xdf0Cb16090C0406748dC1E88F04441DE0b1c8060,10.138344734179265,16.0,16.0,0.0,0.0
1329,0x385648181c3D621CE01b23cDB74143C69b8F7dd6,0xC6D224379D758cDBc19F23Ea28c9E64AA2F98b02,15.053908583996066,32.0,32.0,0.0,16.437853638629974
